#MV iteative lensing noise curves
# \ell Mask0 Mask1 Mask2
1.450000000000000000e+02 1.423404844835989333e-12 1.479333062671865623e-12 1.574024987011270193e-12
1.460000000000000000e+02 1.408566649139255978e-12 1.464001055963213721e-12 1.557843388070840138e-12
1.470000000000000000e+02 1.394012114516586404e-12 1.448962577862549376e-12 1.541972279994469932e-12
1.480000000000000000e+02 1.379742166664645339e-12 1.434218587650161871e-12 1.526412680627392188e-12
1.490000000000000000e+02 1.365756492626140665e-12 1.419768761941184980e-12 1.511164249898484204e-12
1.500000000000000000e+02 1.352053509879065393e-12 1.405611462679050212e-12 1.496225255931911962e-12
1.510000000000000000e+02 1.338630335439133136e-12 1.391743705130196576e-12 1.481592541156252814e-12
1.520000000000000000e+02 1.325482754954046984e-12 1.378161125879410626e-12 1.467261488417394191e-12
1.530000000000000000e+02 1.312605191798395431e-12 1.364857950823908171e-12 1.453225987088917049e-12
1.540000000000000000e+02 1.299990676170434094e-12 1.351826963167417190e-12 1.439478399184991955e-12
1.550000000000000000e+02 1.287630814191380286e-12 1.339059471416144930e-12 1.426009525470763136e-12
1.560000000000000000e+02 1.275515756996539162e-12 1.326545277372859611e-12 1.412808571572731320e-12
1.570000000000000000e+02 1.263634169836483884e-12 1.314272644131602412e-12 1.399863114091021964e-12
1.580000000000000000e+02 1.251973201170066561e-12 1.302228264071768778e-12 1.387159066711654291e-12
1.590000000000000000e+02 1.240518451762457296e-12 1.290397226854704176e-12 1.374680646315039342e-12
1.600000000000000000e+02 1.229253943780667168e-12 1.278762987414017245e-12 1.362410339091389921e-12
1.610000000000000000e+02 1.218165688473503716e-12 1.267311060227265516e-12 1.350332811248662910e-12
1.620000000000000000e+02 1.207252808639811360e-12 1.256040536430437570e-12 1.338447100945541716e-12
1.630000000000000000e+02 1.196517345267408021e-12 1.244953528764070915e-12 1.326755444776712781e-12
1.640000000000000000e+02 1.185960733180092012e-12 1.234051522162880005e-12 1.315259414528732402e-12
1.650000000000000000e+02 1.175583786690617191e-12 1.223335358892253641e-12 1.303959901439392587e-12
1.660000000000000000e+02 1.165386685253039245e-12 1.212805223691034370e-12 1.292857100457083879e-12
1.670000000000000000e+02 1.155368959116946567e-12 1.202460628905502834e-12 1.281950494500788067e-12
1.680000000000000000e+02 1.145529474979179087e-12 1.192300399632785231e-12 1.271238838721955669e-12
1.690000000000000000e+02 1.135866421638058536e-12 1.182322658854837059e-12 1.260720144760729876e-12
1.700000000000000000e+02 1.126377295643850556e-12 1.172524812581852599e-12 1.250391665009077538e-12
1.710000000000000000e+02 1.117058886955509020e-12 1.162903534988131618e-12 1.240249876869528371e-12
1.720000000000000000e+02 1.107907264588624692e-12 1.153454753550462362e-12 1.230290467013908715e-12
1.730000000000000000e+02 1.098917762274053725e-12 1.144173634190273099e-12 1.220508315647104820e-12
1.740000000000000000e+02 1.090084964105866725e-12 1.135054566409500441e-12 1.210897480762028042e-12
1.750000000000000000e+02 1.081402690196836143e-12 1.126091148427714598e-12 1.201451182402121401e-12
1.760000000000000000e+02 1.072863982331411434e-12 1.117276172327412434e-12 1.192161786922608407e-12
1.770000000000000000e+02 1.064461089617436472e-12 1.108601609184231635e-12 1.183020791246715384e-12
1.780000000000000000e+02 1.056185454139124508e-12 1.100058594214128554e-12 1.174018807130062816e-12
1.790000000000000000e+02 1.048027696613174831e-12 1.091637411904219632e-12 1.165145545416258601e-12
1.800000000000000000e+02 1.039979678178331635e-12 1.083329631343885180e-12 1.156392076875884141e-12
1.810000000000000000e+02 1.032040899032336440e-12 1.075134733043133484e-12 1.147757848549676443e-12
1.820000000000000000e+02 1.024212582044527790e-12 1.067053981552698080e-12 1.139244196195079953e-12
1.830000000000000000e+02 1.016495635671766729e-12 1.059088315724348734e-12 1.130852110524647441e-12
1.840000000000000000e+02 1.008890647255534207e-12 1.051238341768600242e-12 1.122582229850944077e-12
1.850000000000000000e+02 1.001397876322799467e-12 1.043504326312421218e-12 1.114434832733336070e-12
1.860000000000000000e+02 9.940172478843741757e-13 1.035886189460712454e-12 1.106409830621007330e-12
1.870000000000000000e+02 9.867483457376653974e-13 1.028383497850244938e-12 1.098506760500378192e-12
1.880000000000000000e+02 9.795904057644016640e-13 1.020995457710510958e-12 1.090724777538121871e-12
1.890000000000000000e+02 9.725423092302442351e-13 1.013720907922688611e-12 1.083062647727953917e-12
1.900000000000000000e+02 9.656025760862835469e-13 1.006558313077979467e-12 1.075518740534278144e-12
1.910000000000000000e+02 9.587693582667650812e-13 9.995057565334309560e-13 1.068091021538347013e-12
1.920000000000000000e+02 9.520404329912136718e-13 9.925609334734157411e-13 1.060777045083164893e-12
1.930000000000000000e+02 9.454131960627884435e-13 9.857211439673403107e-13 1.053573946918390510e-12
1.940000000000000000e+02 9.388846551685227373e-13 9.789832860267242965e-13 1.046478436843984894e-12
1.950000000000000000e+02 9.324514231801902778e-13 9.723438486654237259e-13 1.039486791359511859e-12
1.960000000000000000e+02 9.261097114520334663e-13 9.657989049560814738e-13 1.032594846303387113e-12
1.970000000000000000e+02 9.198553231216297505e-13 9.593441050909787769e-13 1.025797989504064128e-12
1.980000000000000000e+02 9.136836464113888797e-13 9.529746694384858868e-13 1.019091153419911509e-12
1.990000000000000000e+02 9.075896479256489997e-13 9.466853816013997311e-13 1.012468807787885212e-12
2.000000000000000000e+02 9.015678659521754224e-13 9.404705814771655487e-13 1.005924952266548235e-12
2.010000000000000000e+02 8.956135937153852501e-13 9.343253908691973918e-13 9.994544146866667622e-13
2.020000000000000000e+02 8.897265372589669274e-13 9.282495023236455816e-13 9.930568644364548734e-13
2.030000000000000000e+02 8.839074062335155931e-13 9.222436478605009836e-13 9.867330719079446825e-13
2.040000000000000000e+02 8.781567442627370758e-13 9.163083874699105362e-13 9.804836251827761696e-13
2.050000000000000000e+02 8.724749257629001697e-13 9.104441058109921193e-13 9.743089265374907635e-13
2.060000000000000000e+02 8.668621527560058913e-13 9.046510089137902271e-13 9.682091889481942392e-13
2.070000000000000000e+02 8.613184516911225201e-13 8.989291208824887684e-13 9.621844325927075795e-13
2.080000000000000000e+02 8.558436702562983328e-13 8.932782805923400412e-13 9.562344813571168780e-13
2.090000000000000000e+02 8.504374741992698968e-13 8.876981383953917911e-13 9.503589593354097411e-13
2.100000000000000000e+02 8.450993441425146980e-13 8.821881528186719005e-13 9.445572873372809066e-13
2.110000000000000000e+02 8.398285723995621093e-13 8.767475872680308650e-13 9.388286793902845188e-13
2.120000000000000000e+02 8.346242597944439491e-13 8.713755067263266847e-13 9.331721392426110295e-13
2.130000000000000000e+02 8.294853124736073170e-13 8.660707744578949953e-13 9.275864568690092444e-13
2.140000000000000000e+02 8.244104387278786023e-13 8.608320487067345661e-13 9.220702049741933029e-13
2.150000000000000000e+02 8.193981458068891630e-13 8.556577794009767243e-13 9.166217354956215994e-13
2.160000000000000000e+02 8.144467367341279535e-13 8.505462048510725690e-13 9.112391761075328330e-13
2.170000000000000000e+02 8.095543071282789887e-13 8.454953484536319130e-13 9.059204267256100153e-13
2.180000000000000000e+02 8.047187420151323615e-13 8.405030153902394649e-13 9.006631560103870475e-13
2.190000000000000000e+02 7.999377126470364173e-13 8.355667893306670243e-13 8.954647978712854766e-13
2.200000000000000000e+02 7.952086733204637306e-13 8.306840291342003871e-13 8.903225479693929114e-13
2.210000000000000000e+02 7.905288581898086238e-13 8.258518655484552250e-13 8.852333602233842606e-13
2.220000000000000000e+02 7.858952780874665930e-13 8.210671979138451974e-13 8.801939433110429192e-13
2.230000000000000000e+02 7.813047173376308172e-13 8.163266908623967203e-13 8.752007571745549562e-13
2.240000000000000000e+02 7.767544308807292176e-13 8.116274967250951376e-13 8.702507786184687686e-13
2.250000000000000000e+02 7.722442920200997810e-13 8.069694811787483130e-13 8.653438600281421274e-13
2.260000000000000000e+02 7.677747766203219138e-13 8.023531343287747210e-13 8.604805155541154881e-13
2.270000000000000000e+02 7.633462737041854663e-13 7.977788563047510419e-13 8.556611639964504830e-13
2.280000000000000000e+02 7.589590839390718850e-13 7.932469556889873046e-13 8.508861271390580720e-13
2.290000000000000000e+02 7.546134181201933523e-13 7.887576479482441440e-13 8.461556280840252791e-13
2.300000000000000000e+02 7.503093956563451725e-13 7.843110538597941906e-13 8.414697895878285306e-13
2.310000000000000000e+02 7.460470430512594195e-13 7.799071979437683972e-13 8.368286323962891589e-13
2.320000000000000000e+02 7.418262923912430170e-13 7.755460068892169238e-13 8.322320735776440195e-13
2.330000000000000000e+02 7.376469798271593444e-13 7.712273079845706799e-13 8.276799248612722797e-13
2.340000000000000000e+02 7.335088440582957382e-13 7.669508275481006451e-13 8.231718909682518795e-13
2.350000000000000000e+02 7.294115248193735121e-13 7.627161893533519067e-13 8.187075679500862192e-13
2.360000000000000000e+02 7.253545613600157098e-13 7.585229130633741644e-13 8.142864415211462124e-13
2.370000000000000000e+02 7.213373909336416068e-13 7.543704126555269001e-13 8.099078853967686112e-13
2.380000000000000000e+02 7.173593472781930048e-13 7.502579948525681721e-13 8.055711596231840038e-13
2.390000000000000000e+02 7.134196591037706969e-13 7.461848575506013949e-13 8.012754089187574565e-13
2.400000000000000000e+02 7.095174485721040367e-13 7.421500882507925966e-13 7.970196610039161073e-13
2.410000000000000000e+02 7.056517297867016606e-13 7.381526624848039512e-13 7.928028249392487029e-13
2.420000000000000000e+02 7.018214072698066993e-13 7.341914422477675588e-13 7.886236894579463390e-13
2.430000000000000000e+02 6.980252744544335966e-13 7.302651744230905143e-13 7.844809213039010882e-13
2.440000000000000000e+02 6.942620121613223111e-13 7.263724892166858167e-13 7.803730635647762142e-13
2.450000000000000000e+02 6.905301870890902499e-13 7.225118985811488732e-13 7.762985340057064638e-13
2.460000000000000000e+02 6.868282502943290900e-13 7.186817946481027155e-13 7.722556234086508958e-13
2.470000000000000000e+02 6.831545356773573674e-13 7.148804481561456881e-13 7.682424939023231002e-13
2.480000000000000000e+02 6.795072584667160376e-13 7.111060068806828109e-13 7.642571773009168755e-13
2.490000000000000000e+02 6.758845137024074125e-13 7.073564940625013255e-13 7.602975734378051080e-13
2.500000000000000000e+02 6.722846946897537369e-13 7.036302424558667845e-13 7.563619106840675544e-13
2.510000000000000000e+02 6.687077782689341874e-13 6.999272274991794456e-13 7.524501604197951314e-13
2.520000000000000000e+02 6.651541107886007733e-13 6.962478080471435169e-13 7.485627009763093385e-13
2.530000000000000000e+02 6.616239941061700628e-13 6.925922969433251928e-13 7.446998620204057587e-13
2.540000000000000000e+02 6.581176848721691755e-13 6.889609602787373022e-13 7.408619237746089013e-13
2.550000000000000000e+02 6.546353938196067559e-13 6.853540166573347316e-13 7.370491162349171304e-13
2.560000000000000000e+02 6.511772850502031443e-13 6.817716364558552928e-13 7.332616183891735307e-13
2.570000000000000000e+02 6.477434753212496174e-13 6.782139410880584209e-13 7.294995574392080599e-13
2.580000000000000000e+02 6.443340333356075225e-13 6.746810022651949099e-13 7.257630080141825256e-13
2.590000000000000000e+02 6.409489790247971406e-13 6.711728412596167431e-13 7.220519913952455812e-13
2.600000000000000000e+02 6.375882828408830192e-13 6.676894281646184662e-13 7.183664747301343268e-13
2.610000000000000000e+02 6.342518650395621289e-13 6.642306811605611745e-13 7.147063702546883004e-13
2.620000000000000000e+02 6.309395949701643101e-13 6.607964657728278897e-13 7.110715345099639232e-13
2.630000000000000000e+02 6.276512903636412128e-13 6.573865941373195887e-13 7.074617675618629993e-13
2.640000000000000000e+02 6.243867166160322989e-13 6.540008242596673053e-13 7.038768122207615193e-13
2.650000000000000000e+02 6.211455860797212060e-13 6.506388592807282595e-13 7.003163532592524674e-13
2.660000000000000000e+02 6.179275573487236273e-13 6.473003467357976569e-13 6.967800166311464640e-13
2.670000000000000000e+02 6.147322345467395622e-13 6.439848778182201348e-13 6.932673686904713991e-13
2.680000000000000000e+02 6.115591666139490435e-13 6.406919866423714321e-13 6.897779154111011340e-13
2.690000000000000000e+02 6.084078465948755669e-13 6.374211495028712995e-13 6.863111016044987128e-13
2.700000000000000000e+02 6.052777109251818177e-13 6.341717841413355457e-13 6.828663101387166012e-13
2.710000000000000000e+02 6.021681387193456920e-13 6.309432490037035567e-13 6.794428611586532460e-13
2.720000000000000000e+02 5.990784510578316483e-13 6.277348425060482538e-13 6.760400113037963875e-13
2.730000000000000000e+02 5.960079102743270861e-13 6.245458022947307889e-13 6.726569529259669772e-13
2.740000000000000000e+02 5.929557192431662345e-13 6.213753045096972542e-13 6.692928133102036963e-13
2.750000000000000000e+02 5.899210206666280239e-13 6.182224630460785214e-13 6.659466538937631945e-13
2.760000000000000000e+02 5.869028963621089528e-13 6.150863288164818534e-13 6.626174694826068788e-13
2.770000000000000000e+02 5.839003665497355950e-13 6.119658890132818108e-13 6.593041874729145017e-13
2.780000000000000000e+02 5.809123891392858388e-13 6.088600663708484526e-13 6.560056670681987065e-13
2.790000000000000000e+02 5.779381037762061916e-13 6.057679721542971433e-13 6.527209678785658542e-13
2.800000000000000000e+02 5.749775794407606727e-13 6.026896811526339630e-13 6.494501727277082248e-13
2.810000000000000000e+02 5.720311041922398644e-13 5.996254953998332033e-13 6.461936059523945700e-13
2.820000000000000000e+02 5.690989435646523362e-13 5.965756937179605914e-13 6.429515674974402415e-13
2.830000000000000000e+02 5.661813402295683713e-13 5.935405313692732617e-13 6.397243325481403176e-13
2.840000000000000000e+02 5.632785136595306640e-13 5.905202397081939133e-13 6.365121511620754778e-13
2.850000000000000000e+02 5.603906597914631990e-13 5.875150258329715438e-13 6.333152479034300146e-13
2.860000000000000000e+02 5.575179506897043048e-13 5.845250722380320386e-13 6.301338214735412858e-13
2.870000000000000000e+02 5.546605342095424577e-13 5.815505364654505880e-13 6.269680443463484358e-13
2.880000000000000000e+02 5.518185336604370466e-13 5.785915507573027810e-13 6.238180623979993549e-13
2.890000000000000000e+02 5.489920474689887210e-13 5.756482217073874385e-13 6.206839945417971540e-13
2.900000000000000000e+02 5.461811488428512236e-13 5.727206299131384700e-13 6.175659323596916066e-13
