    81    0.28102E-09    0.63406E-13    0.25999E-15   -0.14705E-11
    82    0.28457E-09    0.65380E-13    0.26648E-15   -0.15446E-11
    83    0.28814E-09    0.67367E-13    0.27305E-15   -0.16198E-11
    84    0.29174E-09    0.69367E-13    0.27970E-15   -0.16962E-11
    85    0.29537E-09    0.71377E-13    0.28643E-15   -0.17736E-11
    86    0.29904E-09    0.73395E-13    0.29325E-15   -0.18520E-11
    87    0.30273E-09    0.75421E-13    0.30015E-15   -0.19313E-11
    88    0.30646E-09    0.77451E-13    0.30713E-15   -0.20115E-11
    89    0.31021E-09    0.79486E-13    0.31419E-15   -0.20926E-11
    90    0.31400E-09    0.81523E-13    0.32134E-15   -0.21745E-11
    91    0.31781E-09    0.83559E-13    0.32857E-15   -0.22570E-11
    92    0.32166E-09    0.85595E-13    0.33589E-15   -0.23403E-11
    93    0.32554E-09    0.87626E-13    0.34329E-15   -0.24242E-11
    94    0.32944E-09    0.89653E-13    0.35078E-15   -0.25086E-11
    95    0.33338E-09    0.91671E-13    0.35835E-15   -0.25935E-11
    96    0.33734E-09    0.93681E-13    0.36601E-15   -0.26788E-11
    97    0.34134E-09    0.95679E-13    0.37376E-15   -0.27645E-11
    98    0.34536E-09    0.97663E-13    0.38159E-15   -0.28506E-11
    99    0.34941E-09    0.99633E-13    0.38952E-15   -0.29368E-11
   100    0.35349E-09    0.10159E-12    0.39753E-15   -0.30233E-11
   101    0.35760E-09    0.10352E-12    0.40562E-15   -0.31098E-11
   102    0.36173E-09    0.10543E-12    0.41381E-15   -0.31965E-11
   103    0.36589E-09    0.10732E-12    0.42209E-15   -0.32831E-11
   104    0.37008E-09    0.10919E-12    0.43046E-15   -0.33696E-11
   105    0.37429E-09    0.11103E-12    0.43892E-15   -0.34560E-11
   106    0.37853E-09    0.11284E-12    0.44747E-15   -0.35421E-11
   107    0.38279E-09    0.11462E-12    0.45612E-15   -0.36279E-11
   108    0.38707E-09    0.11637E-12    0.46486E-15   -0.37133E-11
   109    0.39138E-09    0.11809E-12    0.47370E-15   -0.37983E-11
   110    0.39570E-09    0.11977E-12    0.48262E-15   -0.38828E-11
   111    0.40004E-09    0.12142E-12    0.49165E-15   -0.39667E-11
   112    0.40441E-09    0.12302E-12    0.50077E-15   -0.40499E-11
   113    0.40879E-09    0.12459E-12    0.50999E-15   -0.41323E-11
   114    0.41319E-09    0.12612E-12    0.51931E-15   -0.42140E-11
   115    0.41760E-09    0.12760E-12    0.52872E-15   -0.42947E-11
   116    0.42203E-09    0.12904E-12    0.53824E-15   -0.43746E-11
   117    0.42648E-09    0.13043E-12    0.54785E-15   -0.44533E-11
   118    0.43094E-09    0.13177E-12    0.55757E-15   -0.45310E-11
   119    0.43541E-09    0.13307E-12    0.56739E-15   -0.46075E-11
   120    0.43990E-09    0.13431E-12    0.57731E-15   -0.46827E-11
   121    0.44439E-09    0.13550E-12    0.58733E-15   -0.47566E-11
   122    0.44890E-09    0.13664E-12    0.59746E-15   -0.48291E-11
   123    0.45341E-09    0.13772E-12    0.60770E-15   -0.49001E-11
   124    0.45794E-09    0.13874E-12    0.61804E-15   -0.49696E-11
   125    0.46247E-09    0.13971E-12    0.62849E-15   -0.50375E-11
   126    0.46701E-09    0.14062E-12    0.63904E-15   -0.51036E-11
   127    0.47155E-09    0.14146E-12    0.64971E-15   -0.51680E-11
   128    0.47610E-09    0.14224E-12    0.66048E-15   -0.52306E-11
   129    0.48065E-09    0.14296E-12    0.67137E-15   -0.52912E-11
   130    0.48521E-09    0.14362E-12    0.68236E-15   -0.53500E-11
   131    0.48976E-09    0.14422E-12    0.69347E-15   -0.54067E-11
   132    0.49432E-09    0.14475E-12    0.70469E-15   -0.54613E-11
   133    0.49887E-09    0.14523E-12    0.71603E-15   -0.55138E-11
   134    0.50342E-09    0.14564E-12    0.72748E-15   -0.55642E-11
   135    0.50796E-09    0.14599E-12    0.73904E-15   -0.56123E-11
   136    0.51251E-09    0.14628E-12    0.75072E-15   -0.56581E-11
   137    0.51704E-09    0.14650E-12    0.76252E-15   -0.57015E-11
   138    0.52157E-09    0.14667E-12    0.77443E-15   -0.57425E-11
   139    0.52608E-09    0.14677E-12    0.78647E-15   -0.57810E-11
   140    0.53059E-09    0.14681E-12    0.79862E-15   -0.58170E-11
   141    0.53509E-09    0.14679E-12    0.81089E-15   -0.58504E-11
   142    0.53957E-09    0.14671E-12    0.82328E-15   -0.58811E-11
   143    0.54404E-09    0.14657E-12    0.83580E-15   -0.59091E-11
   144    0.54850E-09    0.14636E-12    0.84843E-15   -0.59343E-11
   145    0.55293E-09    0.14610E-12    0.86119E-15   -0.59567E-11
   146    0.55736E-09    0.14577E-12    0.87407E-15   -0.59762E-11
   147    0.56176E-09    0.14538E-12    0.88708E-15   -0.59927E-11
   148    0.56614E-09    0.14493E-12    0.90021E-15   -0.60062E-11
   149    0.57050E-09    0.14442E-12    0.91347E-15   -0.60167E-11
   150    0.57484E-09    0.14384E-12    0.92685E-15   -0.60240E-11
   151    0.57915E-09    0.14321E-12    0.94036E-15   -0.60282E-11
   152    0.58344E-09    0.14251E-12    0.95399E-15   -0.60290E-11
   153    0.58771E-09    0.14175E-12    0.96775E-15   -0.60267E-11
   154    0.59194E-09    0.14094E-12    0.98164E-15   -0.60210E-11
   155    0.59615E-09    0.14007E-12    0.99566E-15   -0.60120E-11
   156    0.60032E-09    0.13916E-12    0.10098E-14   -0.59997E-11
   157    0.60447E-09    0.13819E-12    0.10241E-14   -0.59841E-11
   158    0.60858E-09    0.13717E-12    0.10385E-14   -0.59651E-11
   159    0.61266E-09    0.13612E-12    0.10530E-14   -0.59427E-11
   160    0.61671E-09    0.13502E-12    0.10677E-14   -0.59169E-11
   161    0.62071E-09    0.13388E-12    0.10825E-14   -0.58877E-11
   162    0.62468E-09    0.13271E-12    0.10974E-14   -0.58551E-11
   163    0.62861E-09    0.13150E-12    0.11124E-14   -0.58190E-11
   164    0.63250E-09    0.13026E-12    0.11276E-14   -0.57794E-11
   165    0.63635E-09    0.12899E-12    0.11429E-14   -0.57363E-11
   166    0.64016E-09    0.12770E-12    0.11584E-14   -0.56898E-11
   167    0.64392E-09    0.12638E-12    0.11739E-14   -0.56396E-11
   168    0.64764E-09    0.12504E-12    0.11896E-14   -0.55860E-11
   169    0.65131E-09    0.12368E-12    0.12055E-14   -0.55287E-11
   170    0.65493E-09    0.12231E-12    0.12214E-14   -0.54679E-11
   171    0.65850E-09    0.12092E-12    0.12375E-14   -0.54035E-11
   172    0.66202E-09    0.11952E-12    0.12538E-14   -0.53354E-11
   173    0.66549E-09    0.11811E-12    0.12701E-14   -0.52637E-11
   174    0.66891E-09    0.11670E-12    0.12866E-14   -0.51883E-11
   175    0.67227E-09    0.11528E-12    0.13032E-14   -0.51093E-11
   176    0.67558E-09    0.11387E-12    0.13199E-14   -0.50265E-11
   177    0.67883E-09    0.11245E-12    0.13368E-14   -0.49401E-11
   178    0.68202E-09    0.11104E-12    0.13538E-14   -0.48499E-11
   179    0.68516E-09    0.10964E-12    0.13709E-14   -0.47561E-11
   180    0.68823E-09    0.10825E-12    0.13881E-14   -0.46587E-11
   181    0.69125E-09    0.10689E-12    0.14055E-14   -0.45577E-11
   182    0.69420E-09    0.10555E-12    0.14230E-14   -0.44531E-11
   183    0.69709E-09    0.10423E-12    0.14406E-14   -0.43450E-11
   184    0.69992E-09    0.10295E-12    0.14584E-14   -0.42333E-11
   185    0.70269E-09    0.10171E-12    0.14762E-14   -0.41183E-11
   186    0.70539E-09    0.10051E-12    0.14942E-14   -0.39997E-11
   187    0.70802E-09    0.99355E-13    0.15123E-14   -0.38778E-11
   188    0.71059E-09    0.98251E-13    0.15305E-14   -0.37525E-11
   189    0.71309E-09    0.97203E-13    0.15489E-14   -0.36239E-11
   190    0.71553E-09    0.96214E-13    0.15673E-14   -0.34920E-11
   191    0.71789E-09    0.95290E-13    0.15859E-14   -0.33568E-11
   192    0.72019E-09    0.94434E-13    0.16046E-14   -0.32183E-11
   193    0.72242E-09    0.93652E-13    0.16234E-14   -0.30766E-11
   194    0.72457E-09    0.92947E-13    0.16423E-14   -0.29318E-11
   195    0.72665E-09    0.92325E-13    0.16614E-14   -0.27838E-11
   196    0.72866E-09    0.91789E-13    0.16805E-14   -0.26327E-11
   197    0.73060E-09    0.91344E-13    0.16998E-14   -0.24785E-11
   198    0.73246E-09    0.90995E-13    0.17191E-14   -0.23212E-11
   199    0.73425E-09    0.90746E-13    0.17386E-14   -0.21609E-11
   200    0.73596E-09    0.90602E-13    0.17581E-14   -0.19977E-11
   201    0.73759E-09    0.90567E-13    0.17778E-14   -0.18314E-11
   202    0.73915E-09    0.90645E-13    0.17976E-14   -0.16623E-11
   203    0.74062E-09    0.90842E-13    0.18174E-14   -0.14903E-11
   204    0.74202E-09    0.91161E-13    0.18374E-14   -0.13155E-11
