# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.926793616419045119e+00 1.325801958399611992e-04
1.200000000000000000e+01 1.174624522654741599e+00 1.175351048772777391e-04
1.300000000000000000e+01 1.145579188839097817e+00 1.052232310763178352e-04
1.400000000000000000e+01 7.259050944244527237e-01 9.500289624449921165e-05
1.500000000000000000e+01 6.859674754048028511e-01 8.638513377765728049e-05
1.600000000000000000e+01 5.067791742825326073e-01 7.903745664949623410e-05
1.700000000000000000e+01 4.618213008706456013e-01 7.272344370101004399e-05
1.800000000000000000e+01 3.605391981528027201e-01 6.722976450742098188e-05
1.900000000000000000e+01 3.182396680245720422e-01 6.243438249144818788e-05
2.000000000000000000e+01 2.501706195380025699e-01 5.819913198449560811e-05
2.100000000000000000e+01 2.250035759079584696e-01 5.445321637549070784e-05
2.200000000000000000e+01 1.875296123897224609e-01 5.111162793712391452e-05
2.300000000000000000e+01 1.666034748615115024e-01 4.811387825400073896e-05
2.400000000000000000e+01 1.482326550636460238e-01 4.541106947249781212e-05
2.500000000000000000e+01 1.278423933790527600e-01 4.296531560818853595e-05
2.600000000000000000e+01 1.116470138019162173e-01 4.074170778294878827e-05
2.700000000000000000e+01 9.441119776918284467e-02 3.870765020420324364e-05
2.800000000000000000e+01 8.941135928951962630e-02 3.686090293567829626e-05
2.900000000000000000e+01 6.943520342034296966e-02 3.515167485171768298e-05
3.000000000000000000e+01 6.973759413349217562e-02 3.358532433016079573e-05
3.100000000000000000e+01 5.504290986025351523e-02 3.213949886878602122e-05
3.200000000000000000e+01 5.634382399774201522e-02 3.080248014213017756e-05
3.300000000000000000e+01 4.658883974543254897e-02 2.955712850725612461e-05
3.400000000000000000e+01 4.603550276343115061e-02 2.840352019792378465e-05
3.500000000000000000e+01 3.806180027600069432e-02 2.732233360736476601e-05
3.600000000000000000e+01 3.851062840621869571e-02 2.631295956417520004e-05
3.700000000000000000e+01 3.243949042001015304e-02 2.537896512379013460e-05
3.800000000000000000e+01 3.175264606418123220e-02 2.449422687684568926e-05
3.900000000000000000e+01 2.719775787460320185e-02 2.366987401579935052e-05
4.000000000000000000e+01 2.677100419932572015e-02 2.288976814577936238e-05
4.100000000000000000e+01 2.346358642886299528e-02 2.215654051691212529e-05
4.200000000000000000e+01 2.228337466272312106e-02 2.146250316970098909e-05
4.300000000000000000e+01 2.031491652063641476e-02 2.081117750258997266e-05
4.400000000000000000e+01 1.874759718194605670e-02 2.019163807433074835e-05
4.500000000000000000e+01 1.741122647442525442e-02 1.960771402742663235e-05
4.600000000000000000e+01 1.647678380846920657e-02 1.905128791383531818e-05
4.700000000000000000e+01 1.524815689946388761e-02 1.852215225286815996e-05
4.800000000000000000e+01 1.440234853742495755e-02 1.802011097871812498e-05
4.900000000000000000e+01 1.343147721344906814e-02 1.753654138708821852e-05
5.000000000000000000e+01 1.261876109352788773e-02 1.708338497281032244e-05
5.100000000000000000e+01 1.186447904187709623e-02 1.664763259872189182e-05
5.200000000000000000e+01 1.118449506835979962e-02 1.623424519365158377e-05
5.300000000000000000e+01 1.047908375810334934e-02 1.584347652653530681e-05
5.400000000000000000e+01 9.934421215901569763e-03 1.546495616670278723e-05
5.500000000000000000e+01 9.392729283525899642e-03 1.510663051595630377e-05
5.600000000000000000e+01 8.863066399348874455e-03 1.475679934785710011e-05
5.700000000000000000e+01 8.446369477688033672e-03 1.442714233408911628e-05
5.800000000000000000e+01 7.891558876576177869e-03 1.411002463461270446e-05
5.900000000000000000e+01 7.497260824186778236e-03 1.380626140638115660e-05
6.000000000000000000e+01 7.136918446084247573e-03 1.351087062575706466e-05
6.100000000000000000e+01 6.759154170286904226e-03 1.322817796928994770e-05
6.200000000000000000e+01 6.437837929121002431e-03 1.296019222306790354e-05
6.300000000000000000e+01 6.116552420933702751e-03 1.269953386871448982e-05
6.400000000000000000e+01 5.834585777130229731e-03 1.244758505272491243e-05
6.500000000000000000e+01 5.558750598302974327e-03 1.220648604119339331e-05
6.600000000000000000e+01 5.306393118054798103e-03 1.196980826335125456e-05
6.700000000000000000e+01 5.064086583930232054e-03 1.174307227891878583e-05
6.800000000000000000e+01 4.842897315981714405e-03 1.152487048456240749e-05
6.900000000000000000e+01 4.621150629194372902e-03 1.131714072822328124e-05
7.000000000000000000e+01 4.413690365035932532e-03 1.111599886116780904e-05
7.100000000000000000e+01 4.218128039711878559e-03 1.092378301245928765e-05
7.200000000000000000e+01 4.079050530124741711e-03 1.073204418311732061e-05
7.300000000000000000e+01 3.847565108665725996e-03 1.054833548571697713e-05
7.400000000000000000e+01 3.759033888886218703e-03 1.036635371744730889e-05
7.500000000000000000e+01 3.564659780891283897e-03 1.019307075622190493e-05
7.600000000000000000e+01 3.494231135470707555e-03 1.002870732894967695e-05
7.700000000000000000e+01 3.336529344636494226e-03 9.865142256050182226e-06
7.800000000000000000e+01 3.280111212411196756e-03 9.714963876125503163e-06
7.900000000000000000e+01 3.127581588655883524e-03 9.559353940264400174e-06
8.000000000000000000e+01 3.052006945657366552e-03 9.416447100623055762e-06
8.100000000000000000e+01 2.925681780400043487e-03 9.266074494654816726e-06
8.200000000000000000e+01 2.846963470945447234e-03 9.128239658633844689e-06
8.300000000000000000e+01 2.740629978829643276e-03 8.991899261222074260e-06
8.400000000000000000e+01 2.673287556922218731e-03 8.864202983489104034e-06
8.500000000000000000e+01 2.569889431659981745e-03 8.736170941457804196e-06
8.600000000000000000e+01 2.506704789409662428e-03 8.611780393440278191e-06
8.700000000000000000e+01 2.409123561575805816e-03 8.490133181042467918e-06
8.800000000000000000e+01 2.345883694136029901e-03 8.366270503367675076e-06
8.900000000000000000e+01 2.259391139812961039e-03 8.253412214575748713e-06
9.000000000000000000e+01 2.198575980913449780e-03 8.143089051744881833e-06
9.100000000000000000e+01 2.119525502723680534e-03 8.037617197031153389e-06
9.200000000000000000e+01 2.071440850937820554e-03 7.933440708088520873e-06
9.300000000000000000e+01 2.008785298152787526e-03 7.824477231008119125e-06
9.400000000000000000e+01 1.955942448707256691e-03 7.724595980112667181e-06
9.500000000000000000e+01 1.909200645417838968e-03 7.625677114178053409e-06
9.600000000000000000e+01 1.847481381511293036e-03 7.530524565496950212e-06
9.700000000000000000e+01 1.815207760220138682e-03 7.436010631278682057e-06
9.800000000000000000e+01 1.758660367520051932e-03 7.344412135527420326e-06
9.900000000000000000e+01 1.728640872462746184e-03 7.257135973866775051e-06
1.000000000000000000e+02 1.684894727084786407e-03 7.168451981332560636e-06
1.010000000000000000e+02 1.648376932452235875e-03 7.083974182060142735e-06
1.020000000000000000e+02 1.617430196598954343e-03 6.994881619237312442e-06
1.030000000000000000e+02 1.571127586982567874e-03 6.918834195807334412e-06
1.040000000000000000e+02 1.543438879276742837e-03 6.839753527805444279e-06
1.050000000000000000e+02 1.501146443935926075e-03 6.762669087818323456e-06
1.060000000000000000e+02 1.471542524730268513e-03 6.684886650679893658e-06
1.070000000000000000e+02 1.435715670718651794e-03 6.607308240935731344e-06
1.080000000000000000e+02 1.399846253529903831e-03 6.540655989574463913e-06
1.090000000000000000e+02 1.371059147945423700e-03 6.471571381091169816e-06
1.100000000000000000e+02 1.338757723194334594e-03 6.401078969917296713e-06
1.110000000000000000e+02 1.316780694634146461e-03 6.333952708605440323e-06
1.120000000000000000e+02 1.285486323466619556e-03 6.264849036491768836e-06
1.130000000000000000e+02 1.261887133155773248e-03 6.203167277034799449e-06
1.140000000000000000e+02 1.241624756881380253e-03 6.133310089942904231e-06
1.150000000000000000e+02 1.210289826342302120e-03 6.075741862231974941e-06
1.160000000000000000e+02 1.200378491846617462e-03 6.008961464335112021e-06
1.170000000000000000e+02 1.167818105764360749e-03 5.948213034616097592e-06
1.180000000000000000e+02 1.156575276650776253e-03 5.892382354349553400e-06
1.190000000000000000e+02 1.130953062521713797e-03 5.832698195014227177e-06
1.200000000000000000e+02 1.114632776846299477e-03 5.776441956906703477e-06
1.210000000000000000e+02 1.094090497470053035e-03 5.720074225484398317e-06
1.220000000000000000e+02 1.075852653022105762e-03 5.662151742746132094e-06
1.230000000000000000e+02 1.060258374077940619e-03 5.611006458977646769e-06
1.240000000000000000e+02 1.040615666320722282e-03 5.556197602153511844e-06
1.250000000000000000e+02 1.025409931765002957e-03 5.505743647052444158e-06
1.260000000000000000e+02 1.008877943139484951e-03 5.453662713201762117e-06
1.270000000000000000e+02 9.920212217148390282e-04 5.400312517426452475e-06
1.280000000000000000e+02 9.789711869008100708e-04 5.350818709690857517e-06
1.290000000000000000e+02 9.633355398749308442e-04 5.306981128292621416e-06
1.300000000000000000e+02 9.507951643704633596e-04 5.256924662564417343e-06
1.310000000000000000e+02 9.364917758017451271e-04 5.209386370046430902e-06
1.320000000000000000e+02 9.227652848107707577e-04 5.167072770208242363e-06
1.330000000000000000e+02 9.110748640497358386e-04 5.118080700421951202e-06
1.340000000000000000e+02 8.968699327005765030e-04 5.079247049740826344e-06
1.350000000000000000e+02 8.850003300274754446e-04 5.030816037865112670e-06
1.360000000000000000e+02 8.723528497897572922e-04 4.992813033384755428e-06
1.370000000000000000e+02 8.607013785574458729e-04 4.949548153137008721e-06
1.380000000000000000e+02 8.487400680137131056e-04 4.909872003621196571e-06
1.390000000000000000e+02 8.383060802404667571e-04 4.862969684568285840e-06
1.400000000000000000e+02 8.276883242060007308e-04 4.822860234602383975e-06
1.410000000000000000e+02 8.183957430334122237e-04 4.790339204519840237e-06
1.420000000000000000e+02 8.074255047774167669e-04 4.752247155197502735e-06
1.430000000000000000e+02 7.976468331363410031e-04 4.712055818667003492e-06
1.440000000000000000e+02 7.897114164328972955e-04 4.673286551158022284e-06
1.450000000000000000e+02 7.784975328855294960e-04 4.636891118161997371e-06
1.460000000000000000e+02 7.698388091956153648e-04 4.600094566896044172e-06
1.470000000000000000e+02 7.610338163441295999e-04 4.565283067972363148e-06
1.480000000000000000e+02 7.512114334277516983e-04 4.531434859227196117e-06
1.490000000000000000e+02 7.447121552588307700e-04 4.498898650701386695e-06
1.500000000000000000e+02 7.343852017978320761e-04 4.462675176762805910e-06
1.510000000000000000e+02 7.273079544456142933e-04 4.430208235350262384e-06
1.520000000000000000e+02 7.196318687064293639e-04 4.391834954250447721e-06
1.530000000000000000e+02 7.119721232988832083e-04 4.355891128376247892e-06
1.540000000000000000e+02 7.043251783601562916e-04 4.329159821997572547e-06
1.550000000000000000e+02 6.979917505281996127e-04 4.295664578554909339e-06
1.560000000000000000e+02 6.911576315908137978e-04 4.265625867512064660e-06
1.570000000000000000e+02 6.840966459643557131e-04 4.234051162182829857e-06
1.580000000000000000e+02 6.778860491504655385e-04 4.202348930513766798e-06
1.590000000000000000e+02 6.715950060589435857e-04 4.170810495416660171e-06
1.600000000000000000e+02 6.647173471156190162e-04 4.140460633537393515e-06
1.610000000000000000e+02 6.594094154328803857e-04 4.103950245502580905e-06
1.620000000000000000e+02 6.522325061221488423e-04 4.077415153929487726e-06
1.630000000000000000e+02 6.470197901604431319e-04 4.051094238967933045e-06
1.640000000000000000e+02 6.399619124358724978e-04 4.025880551189509363e-06
1.650000000000000000e+02 6.341566139552992296e-04 3.996879041814155683e-06
1.660000000000000000e+02 6.268615629310219338e-04 3.972055725826386371e-06
1.670000000000000000e+02 6.219237889027532653e-04 3.944581858753417534e-06
1.680000000000000000e+02 6.150063718339418648e-04 3.921081046302794472e-06
1.690000000000000000e+02 6.087634624888735996e-04 3.899426445301282412e-06
1.700000000000000000e+02 6.046561624839120325e-04 3.866642736129396543e-06
1.710000000000000000e+02 5.989680539121261353e-04 3.848322204863629433e-06
1.720000000000000000e+02 5.957966621389637748e-04 3.812246644483528662e-06
1.730000000000000000e+02 5.896179564282101387e-04 3.790316213111322360e-06
1.740000000000000000e+02 5.853748013234039496e-04 3.763807701364165037e-06
1.750000000000000000e+02 5.821295865160531959e-04 3.740491937920783144e-06
1.760000000000000000e+02 5.767382116306239747e-04 3.719656912787061021e-06
1.770000000000000000e+02 5.727179953782532765e-04 3.698359367898182849e-06
1.780000000000000000e+02 5.689874842600635462e-04 3.675516856973576232e-06
1.790000000000000000e+02 5.640231298459514589e-04 3.656124087589707144e-06
1.800000000000000000e+02 5.607906384256900563e-04 3.628485781296799977e-06
1.810000000000000000e+02 5.552231747814897166e-04 3.609805003743623970e-06
1.820000000000000000e+02 5.520323877549580685e-04 3.587218884611569684e-06
1.830000000000000000e+02 5.476305406245882959e-04 3.567620264046645441e-06
1.840000000000000000e+02 5.431592162048297368e-04 3.544752775415414427e-06
1.850000000000000000e+02 5.388501001640542487e-04 3.530287310448184851e-06
1.860000000000000000e+02 5.352790819108368871e-04 3.505538348933721183e-06
1.870000000000000000e+02 5.315177717643899307e-04 3.484401719429977252e-06
1.880000000000000000e+02 5.271267405633592740e-04 3.462550048866094743e-06
1.890000000000000000e+02 5.229673159972483831e-04 3.437248106096021464e-06
1.900000000000000000e+02 5.188998672590240018e-04 3.417723163094556584e-06
