# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 3.551683317994067224e+00 2.083026552114953828e-04
1.200000000000000000e+01 2.101296525142763105e+00 1.847297606625878893e-04
1.300000000000000000e+01 2.159522467188502493e+00 1.654024532962338411e-04
1.400000000000000000e+01 1.303704032863041595e+00 1.494108941220485300e-04
1.500000000000000000e+01 1.286611679244358264e+00 1.358897113039894634e-04
1.600000000000000000e+01 9.274430245714153642e-01 1.243599806659209932e-04
1.700000000000000000e+01 8.815197813208988098e-01 1.144610544308674474e-04
1.800000000000000000e+01 6.744533667342333949e-01 1.058389620128845674e-04
1.900000000000000000e+01 6.120696216739420770e-01 9.832393291964679465e-05
2.000000000000000000e+01 4.682677116742032797e-01 9.168355463573116466e-05
2.100000000000000000e+01 4.331761449404916142e-01 8.581363212784704191e-05
2.200000000000000000e+01 3.575471597848572380e-01 8.058967856122126096e-05
2.300000000000000000e+01 3.235621496161250610e-01 7.589150900863513634e-05
2.400000000000000000e+01 2.929925198879836379e-01 7.165478885927826298e-05
2.500000000000000000e+01 2.518040411710601445e-01 6.782311473895340952e-05
2.600000000000000000e+01 2.199089898214070249e-01 6.433042576578501667e-05
2.700000000000000000e+01 1.821252168844361974e-01 6.114379515226852637e-05
2.800000000000000000e+01 1.800892191716745028e-01 5.824824579919577784e-05
2.900000000000000000e+01 1.302076559864930871e-01 5.556790879544585123e-05
3.000000000000000000e+01 1.394645034305171671e-01 5.310561697639495536e-05
3.100000000000000000e+01 1.030638690116470746e-01 5.084148858977613733e-05
3.200000000000000000e+01 1.133572609855267310e-01 4.874932971144920022e-05
3.300000000000000000e+01 8.909477854197650482e-02 4.679001892250022200e-05
3.400000000000000000e+01 9.300189955879691051e-02 4.498486441365000862e-05
3.500000000000000000e+01 7.271861771154433662e-02 4.328713592547509307e-05
3.600000000000000000e+01 7.878583967460943416e-02 4.169441014100082370e-05
3.700000000000000000e+01 6.293798136657399733e-02 4.024327304796572843e-05
3.800000000000000000e+01 6.450809027638501614e-02 3.885362268082722450e-05
3.900000000000000000e+01 5.281063496756648046e-02 3.756785621451513548e-05
4.000000000000000000e+01 5.450164680239320825e-02 3.634022007111810209e-05
4.100000000000000000e+01 4.612872226059831771e-02 3.519398512092066286e-05
4.200000000000000000e+01 4.469904352693812588e-02 3.410210068893515566e-05
4.300000000000000000e+01 4.034245129130376722e-02 3.308231325911598672e-05
4.400000000000000000e+01 3.712686977433068275e-02 3.210808990033272756e-05
4.500000000000000000e+01 3.448891883647363377e-02 3.119689632047782446e-05
4.600000000000000000e+01 3.305263662700545779e-02 3.032161755527827381e-05
4.700000000000000000e+01 3.043114844976852959e-02 2.949139553923245998e-05
4.800000000000000000e+01 2.900461383942390392e-02 2.870406652263242240e-05
4.900000000000000000e+01 2.699514808101295682e-02 2.793603567851355089e-05
5.000000000000000000e+01 2.542476741653196259e-02 2.722705206604294641e-05
5.100000000000000000e+01 2.395139461426816149e-02 2.653592228457069804e-05
5.200000000000000000e+01 2.264477512731128891e-02 2.588740954677666760e-05
5.300000000000000000e+01 2.114275195247702563e-02 2.528418446688448311e-05
5.400000000000000000e+01 2.015037223270949029e-02 2.468650268836856552e-05
5.500000000000000000e+01 1.908871980759782594e-02 2.412966988546771328e-05
5.600000000000000000e+01 1.799367475020721002e-02 2.357557341002857631e-05
5.700000000000000000e+01 1.726287797076166836e-02 2.305795931620452071e-05
5.800000000000000000e+01 1.593141424466473777e-02 2.256347633930698155e-05
5.900000000000000000e+01 1.515902068910397228e-02 2.208945477080923500e-05
6.000000000000000000e+01 1.446347235946334776e-02 2.162694559816380263e-05
6.100000000000000000e+01 1.365146489684746466e-02 2.118176256972589396e-05
6.200000000000000000e+01 1.301221897929042727e-02 2.076737242664779569e-05
6.300000000000000000e+01 1.233091139765083236e-02 2.035372088435193075e-05
6.400000000000000000e+01 1.176303235776242004e-02 1.996200051786318049e-05
6.500000000000000000e+01 1.118354485559573848e-02 1.957909308340218213e-05
6.600000000000000000e+01 1.066363253131670692e-02 1.920423924866649290e-05
6.700000000000000000e+01 1.015125129836601421e-02 1.884448666552068213e-05
6.800000000000000000e+01 9.694354865925109907e-03 1.849991468918186298e-05
6.900000000000000000e+01 9.208707342597018466e-03 1.817766113826728368e-05
7.000000000000000000e+01 8.755852298510204135e-03 1.786826248716764440e-05
7.100000000000000000e+01 8.326888373378601646e-03 1.757099881899952063e-05
7.200000000000000000e+01 8.100712220096038113e-03 1.726510351860987763e-05
7.300000000000000000e+01 7.491241159241690192e-03 1.697574911384489219e-05
7.400000000000000000e+01 7.425599500414351191e-03 1.668376759389162575e-05
7.500000000000000000e+01 6.927054881312535300e-03 1.640906867649393670e-05
7.600000000000000000e+01 6.904387153956543371e-03 1.615533047641417894e-05
7.700000000000000000e+01 6.517562812826292566e-03 1.589783664426377030e-05
7.800000000000000000e+01 6.533155388315991900e-03 1.567111057950255833e-05
7.900000000000000000e+01 6.135676396264461846e-03 1.542423025705017868e-05
8.000000000000000000e+01 6.048045368375949693e-03 1.520134252072757644e-05
8.100000000000000000e+01 5.733821044974466048e-03 1.495637438693778121e-05
8.200000000000000000e+01 5.609663955270498097e-03 1.473893596459380826e-05
8.300000000000000000e+01 5.358553196507169318e-03 1.452474162817744562e-05
8.400000000000000000e+01 5.263511665346327743e-03 1.432954585942265610e-05
8.500000000000000000e+01 5.002600358690623486e-03 1.412668802875437514e-05
8.600000000000000000e+01 4.906777380379099066e-03 1.393364599334165091e-05
8.700000000000000000e+01 4.653488157209653177e-03 1.374121853623573959e-05
8.800000000000000000e+01 4.539959077434991240e-03 1.353973595672797201e-05
8.900000000000000000e+01 4.319429748063732984e-03 1.336197306852808551e-05
9.000000000000000000e+01 4.200728744063068898e-03 1.318767904453786822e-05
9.100000000000000000e+01 3.999405860197313700e-03 1.302813081334201380e-05
9.200000000000000000e+01 3.922041224431334003e-03 1.286429808364881935e-05
9.300000000000000000e+01 3.777629003413798120e-03 1.268754462622259683e-05
9.400000000000000000e+01 3.668956352948723326e-03 1.253068177401785323e-05
9.500000000000000000e+01 3.581864385028824503e-03 1.237689469094662543e-05
9.600000000000000000e+01 3.425902998857953581e-03 1.222657551595023732e-05
9.700000000000000000e+01 3.389500680025160032e-03 1.207510045044087340e-05
9.800000000000000000e+01 3.246659869314752825e-03 1.193281830237101740e-05
9.900000000000000000e+01 3.212286995311619542e-03 1.179711441862030561e-05
1.000000000000000000e+02 3.115910537935127813e-03 1.165476583261528424e-05
1.010000000000000000e+02 3.047254525110093537e-03 1.152174616425542227e-05
1.020000000000000000e+02 2.997884489622119029e-03 1.137476001607332652e-05
1.030000000000000000e+02 2.880785602642080626e-03 1.126118178838951347e-05
1.040000000000000000e+02 2.839676523644636946e-03 1.113784724186001633e-05
1.050000000000000000e+02 2.731080506774074840e-03 1.101566827267346440e-05
1.060000000000000000e+02 2.676134858539105845e-03 1.089145961925182034e-05
1.070000000000000000e+02 2.590257167193588290e-03 1.076612209312548256e-05
1.080000000000000000e+02 2.502106443946953453e-03 1.066986983509825927e-05
1.090000000000000000e+02 2.441174852089451463e-03 1.056349239562439140e-05
1.100000000000000000e+02 2.363068691663380069e-03 1.045346393764758284e-05
1.110000000000000000e+02 2.327564515910687283e-03 1.034927559311874220e-05
1.120000000000000000e+02 2.250324795278872865e-03 1.024027032706479682e-05
1.130000000000000000e+02 2.202445510232436954e-03 1.014402299468180474e-05
1.140000000000000000e+02 2.168802503873737495e-03 1.003180447187307672e-05
1.150000000000000000e+02 2.085577754553471271e-03 9.942663517407044450e-06
1.160000000000000000e+02 2.092101363503785089e-03 9.831830879005439149e-06
1.170000000000000000e+02 1.999337921887269116e-03 9.736787413304921350e-06
1.180000000000000000e+02 1.997319968824819852e-03 9.651342431686721481e-06
1.190000000000000000e+02 1.932144254366962612e-03 9.555262075126763122e-06
1.200000000000000000e+02 1.905428538843698203e-03 9.467044357570196346e-06
1.210000000000000000e+02 1.859351418330418672e-03 9.378160278283653929e-06
1.220000000000000000e+02 1.821835667214987634e-03 9.282442211791283961e-06
1.230000000000000000e+02 1.795360679834058807e-03 9.205106222915782467e-06
1.240000000000000000e+02 1.748979145198897075e-03 9.116150537608695343e-06
1.250000000000000000e+02 1.717797597420212550e-03 9.036369485181729809e-06
1.260000000000000000e+02 1.684124928098198505e-03 8.954487404506565547e-06
1.270000000000000000e+02 1.647577068988990631e-03 8.862886301428357747e-06
1.280000000000000000e+02 1.621928665373458499e-03 8.785379723104952483e-06
1.290000000000000000e+02 1.589417228967684309e-03 8.721342852743328854e-06
1.300000000000000000e+02 1.564537835542672770e-03 8.637441592314253229e-06
1.310000000000000000e+02 1.534528993033210846e-03 8.565334178336697361e-06
1.320000000000000000e+02 1.504465462612142789e-03 8.498391167541763608e-06
1.330000000000000000e+02 1.481599838772528757e-03 8.419521428439339725e-06
1.340000000000000000e+02 1.450244571796228043e-03 8.361489931392999901e-06
1.350000000000000000e+02 1.425966988863821422e-03 8.279860147814871614e-06
1.360000000000000000e+02 1.396864591128522699e-03 8.225311917524779869e-06
1.370000000000000000e+02 1.374334889025108798e-03 8.156413689695624490e-06
1.380000000000000000e+02 1.348927399552045511e-03 8.093710558028311737e-06
1.390000000000000000e+02 1.328398226551384589e-03 8.014258116576806329e-06
1.400000000000000000e+02 1.307163972388379310e-03 7.948605222366634084e-06
1.410000000000000000e+02 1.289002065096710604e-03 7.904981180746884471e-06
1.420000000000000000e+02 1.267474561869235804e-03 7.844928614791336175e-06
1.430000000000000000e+02 1.248189488037693834e-03 7.779737641316187115e-06
1.440000000000000000e+02 1.234051412102465115e-03 7.714238028083506506e-06
1.450000000000000000e+02 1.210050230411625601e-03 7.658531611168707817e-06
1.460000000000000000e+02 1.194838170177759838e-03 7.600386233372627197e-06
1.470000000000000000e+02 1.176763137937693760e-03 7.544298173215195458e-06
1.480000000000000000e+02 1.155794684794938122e-03 7.491883036576401775e-06
1.490000000000000000e+02 1.144204252250298351e-03 7.442061745569011224e-06
1.500000000000000000e+02 1.121300952798402230e-03 7.383000065680862871e-06
1.510000000000000000e+02 1.108807385234649150e-03 7.332953580918861014e-06
1.520000000000000000e+02 1.091398178735593317e-03 7.266340765070101040e-06
1.530000000000000000e+02 1.076989830590240017e-03 7.206216806180100286e-06
1.540000000000000000e+02 1.059538252620648201e-03 7.168368576571311218e-06
1.550000000000000000e+02 1.048706389654301390e-03 7.113466249465702548e-06
1.560000000000000000e+02 1.033711907807186286e-03 7.065483173392703319e-06
1.570000000000000000e+02 1.020982535064919594e-03 7.015323995027184988e-06
1.580000000000000000e+02 1.009409405093584719e-03 6.961081849156447678e-06
1.590000000000000000e+02 9.968669910482290571e-04 6.909904718596994826e-06
1.600000000000000000e+02 9.829726803248647286e-04 6.860211610608688419e-06
1.610000000000000000e+02 9.744313699181057992e-04 6.794520229931717104e-06
1.620000000000000000e+02 9.583528532388848080e-04 6.753993290251425696e-06
1.630000000000000000e+02 9.507870390716916583e-04 6.713430349182662488e-06
1.640000000000000000e+02 9.342300640099545413e-04 6.676558506576383677e-06
1.650000000000000000e+02 9.247515706491833123e-04 6.629851737830645811e-06
1.660000000000000000e+02 9.087853363316517183e-04 6.592126223949931250e-06
1.670000000000000000e+02 8.986527805012412213e-04 6.548639268656072763e-06
1.680000000000000000e+02 8.869915023417474691e-04 6.514087259422611494e-06
1.690000000000000000e+02 8.735422899975245218e-04 6.484097217458093057e-06
1.700000000000000000e+02 8.691603735758581884e-04 6.424876234876299703e-06
1.710000000000000000e+02 8.577971167500648975e-04 6.402210316595651384e-06
1.720000000000000000e+02 8.527050233591279343e-04 6.333095996197743930e-06
1.730000000000000000e+02 8.422887679931073245e-04 6.299419961616252125e-06
1.740000000000000000e+02 8.353149913482495626e-04 6.255328192823276052e-06
1.750000000000000000e+02 8.274891352672679185e-04 6.218745258214234028e-06
1.760000000000000000e+02 8.180301215383653903e-04 6.188354214720742924e-06
1.770000000000000000e+02 8.113155085267727273e-04 6.157371107717648689e-06
1.780000000000000000e+02 8.028971769257428354e-04 6.121680633533046861e-06
1.790000000000000000e+02 7.944224528893081188e-04 6.093713833931535797e-06
1.800000000000000000e+02 7.875088137011103124e-04 6.045259343077893112e-06
1.810000000000000000e+02 7.764158684802143114e-04 6.017871504613780809e-06
1.820000000000000000e+02 7.715459908940998455e-04 5.982753235912699603e-06
1.830000000000000000e+02 7.608609754227712305e-04 5.951651837864670509e-06
1.840000000000000000e+02 7.546521017101586034e-04 5.914488014566598774e-06
1.850000000000000000e+02 7.465844873409360587e-04 5.897714352580393599e-06
1.860000000000000000e+02 7.389951082708139671e-04 5.854676756178583342e-06
1.870000000000000000e+02 7.339079113034685650e-04 5.820227408507995397e-06
1.880000000000000000e+02 7.253789833455285326e-04 5.783685929377451738e-06
1.890000000000000000e+02 7.189303941172951176e-04 5.738880547602858833e-06
1.900000000000000000e+02 7.114453341390660282e-04 5.707377769410391610e-06
